rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:2qmG7dokbGpDGD0T5wORWt","Matheus Fernandes, Xand Avião","Balanço da Rede","Som Livre",1,2,14,"5398459"
2,"spotify:track:6hFwju6M40CKovKBPu5IpY","Jovem Dionisio","ACORDA PEDRINHO","Jovem Dionisio",1,1,5,"4952259"
3,"spotify:track:4QWumyD2uwiePBBha9XBHI","Felipe Amorim","No Ouvidinho","One Play",1,3,12,"4816440"
4,"spotify:track:7qD2vjd3btuOgwpQPEY7ci","Mc Don Juan, MC G15, Mc Davi","EU VOU COM CARINHO ELA QUER COM FORÇA","WM Brazil",4,6,4,"4631027"
5,"spotify:track:1K8AtBJXcdq5mywMnZuARP","Gusttavo Lima","Termina Comigo Antes - Ao Vivo","Sony Music Entertainment",3,5,11,"4553367"
6,"spotify:track:0sjhY8nPIm6cPOQfyUPmJe","Luan Santana, Henrique & Juliano","ERRO PLANEJADO - Ao Vivo","Sony Music Entertainment",4,4,9,"4493121"
7,"spotify:track:6Ulh9GPYz6JKdv04qc3q2U","João Gomes","Dengo","JG Shows",6,8,6,"4446826"
8,"spotify:track:3sd2p4kE7xQmFH3lPnFl6h","Davi Kneip, Mc Frog, Dj Gabriel do Borel, Luísa Sonza","sentaDONA (Remix) s2","Davi Kneip",1,7,13,"4404467"
9,"spotify:track:6Zw25LRLP0j0MsezDFIUM4","Hugo & Guilherme, Marília Mendonça","Mal Feito - Ao Vivo","Som Livre",2,11,22,"4242347"
10,"spotify:track:3ShKPhFkexrwl7WoyTtNND","Rogerinho, Wesley Safadão","Tchuco Nela","AgitoFunk",5,10,9,"4230191"
11,"spotify:track:6bTdZ7xfKp3NqqADJ8HLyj","Matuê, WIU, Teto","Vampiro","Sony Music Entertainment",1,9,11,"4121921"
12,"spotify:track:546dFmvwFGBY7MJOkV5ctq","Jorge & Mateus","Todo Seu - Ao Vivo","Som Livre",12,12,6,"4026854"
13,"spotify:track:5zNxUkUW9WiV5oyg6gh2wB","PEDRO SAMPAIO, Mc Pedrinho","DANÇARINA","WM Brazil",1,13,19,"3773755"
14,"spotify:track:4a0sqvCBo7aRIS4GzBQpnp","MC Braz, MC Tairon, Dj Win","Kikando e Me Olhando","Duetti",14,15,10,"3567382"
15,"spotify:track:3ITkrUvAA6gzxer2UIom3P","Jorge & Mateus","Molhando o Volante","Som Livre",8,14,27,"3526633"
16,"spotify:track:53RxHysDJ0cjugMcPymwja","Luan Santana","ABALO EMOCIONAL - Ao Vivo","Sony Music Entertainment",6,18,19,"3304481"
17,"spotify:track:7afaZ37wJJL6880z1NRgJS","Teto","Fim de Semana no Rio","Sony Music Entertainment",3,17,11,"3241923"
18,"spotify:track:3XF598RmEUF3XW4XKo1lyP","Hugo & Guilherme, Jorge & Mateus","Meu Número - Ao Vivo","Som Livre",17,19,9,"3150645"
19,"spotify:track:7bhvRvE56NHBvedx0EeALS","Mari Fernandez, NATTAN","Comunicação Falhou - Ao Vivo","Sony Music Entertainment",19,24,7,"3056905"
20,"spotify:track:2ebFBmle5uXcdbrCAOvPcZ","Guilherme & Benuto","Vagabundo Chora - Ao Vivo","Sony Music Entertainment",20,28,18,"3021347"
21,"spotify:track:14JKzKrJbPDflw8XyATMey","Henrique & Juliano","A Maior Saudade (Ao Vivo)","Vida Nova Produções, sob licença exclusiva para Virgin Music Group",10,20,41,"3011390"
22,"spotify:track:11fqunD6qlOCrRd88kMOk6","Henrique & Juliano","Evento Cancelado (Ao Vivo)","Vida Nova Produções, sob licença exclusiva para Virgin Music Group",22,26,4,"2992549"
23,"spotify:track:75FEaRjZTKLhTrFGsfMUXR","Kate Bush","Running Up That Hill (A Deal With God)","Fish People",16,16,3,"2967102"
24,"spotify:track:2LEV3lTRxKqLBfmt5BWkLj","Gusttavo Lima","Não Pega Ninguém Ainda (Ao Vivo)","Sony Music Entertainment",24,38,2,"2965380"
25,"spotify:track:0NBgyml7T0IvUNbXIkcSpH","Xamã, Gustah, Neo Beats, Bagua Records","Malvadão 3","Bagua Records",1,22,28,"2897369"
26,"spotify:track:2wSCalnGOnXdAJC0Fn8OUY","George Henrique & Rodrigo, Marília Mendonça","Vai Lá Em Casa Hoje - Ao Vivo","Worldshow Promoções e Eventos",1,25,34,"2799591"
27,"spotify:track:6BF3nZQkAg9qvE0DLVSfyH","Baco Exu do Blues, Luísa Sonza","Hotel Caro","Baco Exu do Blues",27,-1,1,"2791408"
28,"spotify:track:75fCsUnTiDelE4HMd06t4O","Mc Pepeu, DJ Swat, Doug Hits","Gostosinho Tu Cai","Doug Filmes",19,23,8,"2786467"
29,"spotify:track:5lCAtKxkZL6tFDyGX9t87j","Wesley Safadão","Eu Já Tava Bem - Ao Vivo","Wesley Safadao",19,33,28,"2760118"
30,"spotify:track:6nkoWsFZeFt5dUdNmlIceh","Gusttavo Lima","Bloqueado - Ao Vivo","Sony Music Entertainment",4,27,29,"2717577"
31,"spotify:track:4Dvkj6JhhA12EX05fT7y2e","Harry Styles","As It Was","Columbia",10,21,11,"2697233"
32,"spotify:track:5dFxhpYLOton7aawKsDeiS","Léo Santana, Mc Don Juan, Mari Fernandez","Áudio Que Te Entrega","Universal Music Ltda.",32,32,12,"2691743"
33,"spotify:track:1RgJ4lexKGNBlKnyxB5SRt","Teto, Mateca","Balazul","Sony Music Entertainment",33,169,2,"2684074"
34,"spotify:track:42nZBOwXNdO24Ml032bLBS","Matheus & Kauan","Gatilho - Ao Vivo","Universal Music Ltda.",29,31,13,"2669961"
35,"spotify:track:0E0OENqh3jaZ4VpDFTOLGj","Mc Delux, DJ ABDO, CLUB DA DZ7","EU BEM QUE TE AVISEI - TU EMPINOU ELE PEI","Club da DZ7",25,30,9,"2507325"
36,"spotify:track:4NJKCE1TBC653P3dCnto0u","Mc Gabzin, DJ Marcus Vinicius","Simplesmente Ela","Sony Music Entertainment",22,34,13,"2488412"
37,"spotify:track:4SIBZgMomGFnrIWjmq7Np8","L7NNON, Os Hawaianos, DJ Bel da CDD, DJ Biel do Furduncinho","Desenrola Bate Joga de Ladin - feat. DJ Biel do Furduncinho","Papatunes Records",9,29,10,"2478602"
38,"spotify:track:6Lk3kU7JcQ5dZ7jbmhJzQN","Zé Neto & Cristiano","Melhor Ser uma Saudade","Som Livre",13,36,20,"2478086"
39,"spotify:track:7gVzhRCrLRUBEGdS7zNTp0","Zé Felipe","Malvada","Som Livre",2,37,20,"2474595"
40,"spotify:track:1ih3nbYJ0lugsku6065BC5","O Tubarão, Treyce","Me Chama de Amor - Arrochadeira Remix","Tops da Arrochadeira",33,35,7,"2408371"
41,"spotify:track:0tM4J8aID6qYZOE3e14sCj","Henrique & Juliano","Acordo (Ao Vivo)","Vida Nova Produções, sob licença exclusiva para Virgin Music Group",21,39,34,"2399962"
42,"spotify:track:71fwkaKdNrxiZZbkzSqmFJ","Anitta, Papatinho, MC Kevin o Chris, Mr. Catra, YG","Que Rabão (feat. Mr. Catra e YG)","Warner Records",18,40,9,"2329612"
