rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,duration_ms
1,spotify:track:7l9Tq5phzkLnhWUyfp702G,"Kaique e Felipe, Luan Pereira",Saveiro,Sony Music Entertainment,1,6,6,9010155,144665
2,spotify:track:3TzANwXYkLsjIY9CT7prcL,"NATTAN, Zé Felipe, O REI DA BATIDINHA",Patrai,Nattan,2,3,3,8890180,113448
3,spotify:track:5sKGmZDmkGwFed5dPpZpZL,"Jorge & Mateus, Henrique & Juliano",Xonei,Som Livre,3,5,3,8097245,154555
4,spotify:track:0bPP5cDG1ZnbAVCEa3ZbQ1,Grelo,Só Fé,Henrique & Juliano,1,2,5,7349751,203337
5,spotify:track:0S7o4sti5I5CAbbotTUzTM,"Traia Véia, Luan Pereira",Wi-Fi - Ao Vivo,Show Mix.,2,7,7,6373122,161312
6,spotify:track:7sAyqOe0BHySvFjSI5tnBA,"Ícaro e Gilmar, Luan Pereira",Diferentona,MJ Records,4,4,8,5683732,178290
7,spotify:track:6m51sam9gIqRMbJEKW4ADe,Grelo,De Graça ou Pagando,Henrique & Juliano,7,8,5,5594954,196702
8,spotify:track:7IFsTX5H1sWcEl8joV0IdD,"THE BOX, Mc Brinquedo, MC Cebezinho, MC Tuto, Mc Laranjinha, DJ Oreia",THE BOX MEDLEY FUNK 2,Sony Music Entertainment,1,9,19,5460584,266666
9,spotify:track:3H7eBmcTJyuEMStfmKuLmG,"MC Cebezinho, DJ Oreia, MC Tuto, Love Funk, Kako",A Danada Me Ligando,Love Funk,9,-1,1,5231662,283636
10,spotify:track:4dvHZesL5UKzfJnFH5bm3g,Luan Santana,CLONE - Ao Vivo,Sony Music Entertainment,10,16,2,5172545,164401
11,spotify:track:7xjV9rXbAUDCreKgx2pkGY,"Mari Fernandez, Zé Felipe","Louco, Louco - Ao Vivo",Som Livre,1,1,7,5155837,143060
12,spotify:track:1NcqLEg2r2LXqMVbam2BJD,"Matheus Fernandes, Matheus & Kauan",Triplex - Ao Vivo,Som Livre,4,10,13,5119096,178170
13,spotify:track:2i3HnfXvFT371Hbk4oZsfA,"DJ DUARTE, MC Lipivox, DJ Kayo Original, MC Rondom, Prime Funk",Ritmada Interestelar,Prime Funk,13,81,2,5059655,192461
14,spotify:track:6mTpK40yIRk1xGGNvRMHGg,"Murilo Huff, Gustavo Mioto",Me Caiu Tão Bem - Ao Vivo,M Show,7,15,13,4647195,156146
15,spotify:track:6NJzycLHOAh940pcqcUVp6,Gusttavo Lima,Morar Nesse Motel,Sony Music Entertainment,3,12,10,4453096,187037
16,spotify:track:368hYqtNCKCAeUduMoSHhh,Clayton & Romário,Aproveita - Ao Vivo,Virgin Music Label And Artist Services (S&D),2,11,12,4452447,147860
17,spotify:track:2plbrEY59IikOBgBGLjaoe,"Lady Gaga, Bruno Mars",Die With A Smile,Interscope,17,22,3,4398069,251667
18,spotify:track:07ceTL2BIlnI5jWxceZz9d,Gustavo Mioto,Eu Fujo,Universal Music Ltda.,18,77,3,4299314,157823
19,spotify:track:0GbvYZsvz7bWyijBDESebX,Simone Mendes,Mulher Foda - Ao Vivo,Universal Music Ltda.,10,19,8,4091562,162190
20,spotify:track:6gjsnEQxLqVkieeloQTozN,"Lou Garcia, Dj Luan Gomes",Não Fosse Tão Tarde - MTG Remix,Universal Music Ltda.,11,21,10,4059561,117230
21,spotify:track:106SKHXoytRADjpxHBkJpV,"dj sv, Doug Hits, Manim Vaqueiro",Mtg Forró e Desmantelo,Doug Filmes,1,13,20,4045700,149538
