rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:64CovjRwInpOJW4PiGMprY","MC Kevin o Chris, Dj Nk Da Serra, Mc Magrinho","Faz um Vuk Vuk (Teto Espelhado)","MC Kevin o Chris",1,1,4,"11013287"
2,"spotify:track:54u86CmMqGI1rRuULlTqaB","Felipe Amorim","Toca o Trompete","One Play",2,10,4,"8779754"
3,"spotify:track:0fABszUFNbNq9IW503Gj8v","DENNIS, MC Kevin o Chris","Tá OK","Sony Music Entertainment",1,2,13,"8535941"
4,"spotify:track:4Z2i41GDQyu3KRpBavEnyR","Ana Castela","Solteiro Forçado - Boiadeira Internacional","AgroPlay do Brasil",3,4,6,"7762200"
5,"spotify:track:2uhw2oYbugGJbn10wipNX5","Mc Livinho, DJ Matt D","Novidade na Área","MBB Diamond",1,3,8,"7741971"
6,"spotify:track:1Vy9Wn5sbiduZKBqBlH3Mc","Vulgo FK, MC PH, Veigh, Pedro Lotto, Fepache","Ballena","Som Livre",3,5,5,"7547949"
7,"spotify:track:4hKLzFvNwHF6dPosGT30ed","Veigh, Bvga Beatz, Prod Malax, Supernova Ent","Novo Balanço","Supernova Entertainment Under Exclusive License to UnitedMasters",2,6,13,"7036675"
8,"spotify:track:4uqJelb9THHmJ3OCohg4ZJ","AgroPlay, Ana Castela","Nosso Quadro","AgroPlay",1,7,28,"6985254"
9,"spotify:track:1mimc5QiUuwmVYdXkWvgOQ","Luan Pereira, Gustavo Mioto","MOLETOM","Som Livre",9,13,7,"6312527"
10,"spotify:track:4pWsXhLUdtBKlw9npIXZAl","Kadu Martins","Halls na Língua","Kadu Martins",9,9,13,"6225558"
11,"spotify:track:4f0aDk7HX37SfzerfznYlr","Grupo Menos É Mais, Matheus Fernandes","Lapada Dela - Ao Vivo","Som Livre",11,14,25,"6206356"
12,"spotify:track:51pxwIxDVCbFHW8oyJFQXD","Simone Mendes","Erro Gostoso - Ao Vivo","Universal Music Ltda.",3,11,29,"6190512"
13,"spotify:track:0U9CZWq6umZsN432nh3WWT","Mc Pedrinho, DJ 900","Gol Bolinha, Gol Quadrado 2","GR6 Music",3,8,10,"6173677"
14,"spotify:track:7lTVXJfNK4xaJSUXCUac6a","Felipe Amorim, Mc Mika","Fode Bem","One Play",14,26,3,"6089175"
15,"spotify:track:3PH1nUysW7ybo3Yu8sqlPN","Israel & Rodolffo, Mari Fernandez","Seu Brilho Sumiu - Ao Vivo","Som Livre",2,12,24,"6026752"
16,"spotify:track:7GScY8oE12cqTiNBzVQpUB","Gusttavo Lima, Matheus & Kauan","Mala dos Porta-Mala - Ao Vivo","Sony Music Entertainment",16,17,5,"5506543"
17,"spotify:track:4xAGuRRKOgoaZbMGdmTD3N","Zé Neto & Cristiano","Oi Balde - Ao Vivo","Som Livre",3,15,26,"5452199"
18,"spotify:track:4zUFA8l78k4tCmoVuGtV8z","Luan Santana","MEIO TERMO - Ao Vivo","Sony Music Entertainment",10,16,10,"5388634"
19,"spotify:track:3PqU6gHWUaBTtIZi5oxEJ7","Zé Neto & Cristiano","Um Mês E Pouco - Ao Vivo","Som Livre",19,19,8,"5232638"
20,"spotify:track:0redQHBfejmPUhonR5ppGC","Guilherme & Benuto, Ana Castela, Adriano Rhod","Duas Três","Sony Music Entertainment",8,18,27,"4944551"
21,"spotify:track:7DkhndGTKaqkFxxKN7XlAh","Guilherme & Benuto, Simone Mendes","Manda um Oi - Ao Vivo","Sony Music Entertainment",21,21,14,"4689340"
22,"spotify:track:7r8yMaSOy4XmuhRz7iv1gi","Henrique & Juliano","Traumatizei (Ao Vivo Em Brasília)","Vida Nova Produções, sob licença exclusiva para Virgin Music Group",6,23,28,"4512205"
23,"spotify:track:0bfJWhn3r3UQBF8WYKWT4K","Dyamante DJ","Vai Novinha Ah, Ah, Ah / Citação: O Chêro Da Carolina","Virgin Music Label And Artist Services (S&D)",8,20,9,"4440944"
24,"spotify:track:4sqpSDnTrbS8v7RMNCUyqS","Matheus & Kauan, Mari Fernandez","Não Vitalício (Nunca Mais) - Ao Vivo","Universal Music Ltda.",7,24,28,"4329930"
25,"spotify:track:3P2ubMyuL9NQOVU67TVCXA","Melody, Naldo Benny, CANETARIA, MATHEUS ALVES","Love, Love","Melody",19,22,9,"4306941"
26,"spotify:track:53PpijFATt35Zxfl6LTxoK","Marília Mendonça","Leão","Som Livre",1,25,36,"4053192"
27,"spotify:track:0WrM1ON5poAsmKw3x5uPhD","Maiara & Maraisa","Narcisista - Ao Vivo","Som Livre",27,31,5,"3803575"
28,"spotify:track:0SCMVUZ21uYYB8cc0ScfbV","Israel & Rodolffo, Ana Castela","Bombonzinho - Ao Vivo","Som Livre",1,30,41,"3766784"
29,"spotify:track:12YCtLHGk6tP6RbHDHflCs","MC Caverinha, KayBlack, Wall Hein","Cartão Black","Som Livre",1,27,14,"3734677"
30,"spotify:track:1nf1HJdTWXwf9XHQebGlOd","Gustavo Mioto, Mc Don Juan","Quando Apaga A Luz - Ao Vivo","Universal Music Ltda.",13,32,30,"3682936"
31,"spotify:track:2uGk60j3LR5bp6tGq9vtII","GORDÃO DO PC, Kadu Martins, DJ LUCAS DE PAULA, MC Kevin o Chris","Halls na Língua - Remix","Delivery Music BH",28,28,5,"3651745"
32,"spotify:track:4uLzGOlqSanpNS3htaUViY","Zé Neto & Cristiano","Pátio do Posto - Ao Vivo","Som Livre",19,33,21,"3647623"
33,"spotify:track:39xOREhViooEYFpmnKTdrl","Veigh, Tz da Coronel, Toledo, Nagalli, Bvga Beatz, Supernova Ent","Engana Dizendo Que Ama","Supernova Entertainment Under Exclusive License to UnitedMasters",11,29,13,"3640394"
