rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
186,"spotify:track:0YluTOlBctnpHPABgFSXEw","DJ Lucas Beat, Vitor Fernandes","Vou Falar Que Não Quero - Remix","Midia Hits",100,188,25,"731095"
187,"spotify:track:7MAibcTli4IisCtbHKrGMh","Bruno Mars, Anderson .Paak, Silk Sonic","Leave The Door Open","Aftermath Entertainment/Atlantic",52,182,30,"729073"
188,"spotify:track:4VjuRtqxq5y9EPJix8MqVO","DJ THG, Mc Nego Nojo, Mc Mr. Bim","ELA VAI JOGA","NevesProducoes",188,-1,1,"724982"
189,"spotify:track:40zJaB3z53PGaxIkYyieBP","Israel & Rodolffo, Matheuzinho","Só de Sacanagem - Ao Vivo","Som Livre",17,177,35,"723585"
190,"spotify:track:7yjduLSgPntFlq79Cuzrfz","Zé Vaqueiro","Eu Tenho Medo","Sony Music Entertainment",43,167,49,"722070"
191,"spotify:track:0in6Rc29qdyOkhKyYw4A84","Di Propósito","Manda Áudio","Sony Music Entertainment",53,185,67,"721117"
192,"spotify:track:7graPn87bYFxTLNnRnFDMZ","Marília Mendonça, Maiara & Maraisa","Não Sei o Que Lá","Som Livre",192,-1,1,"720476"
193,"spotify:track:7hU3IHwjX150XLoTVmjD0q","LISA","MONEY","YG Entertainment/Interscope Records",193,-1,1,"713410"
194,"spotify:track:0Pjd5h1ZOSyhSwZrDeCIXg","Mc Bruninho da Praia, Mc Kevin, Mc IG, Mc Magal, MC GP, DJ Oreia","Giro dos Artistas","GR6 Music",146,183,8,"712058"
195,"spotify:track:6KoWlMNCiFdHnzYSX1Ag8q","Murilo Huff, Zé Vaqueiro","Nunca Vai Ser Nós","M Show",195,-1,1,"712044"
196,"spotify:track:048cjnG3o8hoszGE2fpZEr","Hugo Henrique","Balada Não Beija - Ao Vivo","Hugo Henrique",196,-1,1,"711513"
197,"spotify:track:2Xr1dTzJee307rmrkt8c0g","CKay","love nwantiti (ah ah ah)","Chocolate City Music",197,-1,1,"711200"
198,"spotify:track:4XcWXKMKp53c8OU3HHlxgL","Hungria","Amor e Fé - Acústico","Hungria Hip Hop",22,-1,55,"705560"
199,"spotify:track:1wjmGk216y7V2Q5NzG0TRG","L7NNON, Papatinho","HB20","Papatunes Records",154,154,2,"703216"
200,"spotify:track:5gTgQBtNP08fUijxpEgmzF","Matheus & Kauan","É Problema","Universal Music Ltda.",19,134,46,"702384"
