rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,duration_ms
1,spotify:track:5zNxUkUW9WiV5oyg6gh2wB,"PEDRO SAMPAIO, Mc Pedrinho",DANÇARINA,WM Brazil,1,1,6,7827627,110222
2,spotify:track:0NBgyml7T0IvUNbXIkcSpH,"Xamã, Gustah, Neo Beats, Bagua Records",Malvadão 3,Bagua Records,1,2,15,6400691,141769
3,spotify:track:7gVzhRCrLRUBEGdS7zNTp0,Zé Felipe,Malvada,Som Livre,2,3,7,5929490,145853
4,spotify:track:5719MEdRQcH4c3phXqX7WN,"Hugo & Guilherme, Marília Mendonça",Mal Feito - Ao Vivo,Som Livre,2,4,9,5614137,177934
5,spotify:track:3QGxgNaqaFSpORp2OVLXHR,"Chefin, Mainstreet",212,Mainstreet Records,2,5,9,4994325,150610
6,spotify:track:53RxHysDJ0cjugMcPymwja,Luan Santana,ABALO EMOCIONAL - Ao Vivo,Sony Music Entertainment,6,8,6,4914236,153225
7,spotify:track:6nkoWsFZeFt5dUdNmlIceh,Gusttavo Lima,Bloqueado - Ao Vivo,Sony Music Entertainment,4,6,16,4764802,168689
8,spotify:track:0qYW2jULeN9giEty0ee9Fy,Rogerinho,Botadinha Saliente,MC Rogerinho Oficial,5,7,6,4502954,158000
9,spotify:track:4EVzu5mYyigjyLrryKbZs7,Gloria Groove,VERMELHO,SB Music,9,11,5,4395869,152690
10,spotify:track:2wSCalnGOnXdAJC0Fn8OUY,"George Henrique & Rodrigo, Marília Mendonça",Vai Lá Em Casa Hoje - Ao Vivo,Worldshow Promoções e Eventos,1,9,21,4383068,191523
11,spotify:track:3ITkrUvAA6gzxer2UIom3P,Jorge & Mateus,Molhando o Volante,Som Livre,8,12,14,4061648,162538
12,spotify:track:1M5OUvKG03C0QtzvxRS4Zk,"Dj Guuga, Wesley Safadão, Zé Felipe",Depende,Dj Guuga,8,10,8,4045520,156922
13,spotify:track:5Z4TYur0O9OxmxIo6GC2Gq,"Vulgo FK, AMUSIK, WEY, Wall Hein","Oi, Como Ce Tá?",Elenko Music,13,14,4,3993536,156153
14,spotify:track:4qsOrxBv09HhNSpsgMRXdC,"Marília Mendonça, Maiara & Maraisa",Esqueça-Me Se For Capaz,Som Livre,1,13,22,3917244,169058
15,spotify:track:0sPtV4stCHkFJB6GpoaZ1f,"Luísa Sonza, LUDMILLA",CAFÉ DA MANHÃ ;P,Universal Music Ltda.,15,23,6,3474749,181173
16,spotify:track:0yL7K9MzC20uBesZTPY81r,"DJ Matt D, Menor MC, MC GP, Vulgo FK",Pandora,GREE CASSUA,6,15,15,3402482,177000
17,spotify:track:3IMLoeLerS7TMpKjxUgAhx,Henrique & Juliano,Arranhão (Ao Vivo),"Vida Nova Produções, sob licença exclusiva para Virgin Music Group",1,21,32,3294247,153409
18,spotify:track:14JKzKrJbPDflw8XyATMey,Henrique & Juliano,A Maior Saudade (Ao Vivo),"Vida Nova Produções, sob licença exclusiva para Virgin Music Group",10,30,28,3267531,190161
19,spotify:track:5VTjBl3ddZEiG2LrH4VzyR,"Zé Felipe, Mc Danny",Toma Toma Vapo Vapo,Som Livre,3,16,18,3252158,156760
20,spotify:track:4lsDFVKOVwPeAVw1hPOn7G,"Simone & Simaria, Zé Felipe",Vontade De Morder,Universal Music Ltda.,19,19,9,3229009,154973
21,spotify:track:3qmdfYpfvKRIXmWaLllHZ3,"MC Teteu, Dj Serpinha, 2Click",Black Lança (Catucando Gostosinho),2click Produções,19,20,8,3217640,153230
22,spotify:track:72g37RoelSnovZakG5MwnF,"Mari Fernandez, Marcynho Sensação",Parada Louca,Sony Music Entertainment,8,18,18,3204451,179031
23,spotify:track:0tM4J8aID6qYZOE3e14sCj,Henrique & Juliano,Acordo (Ao Vivo),"Vida Nova Produções, sob licença exclusiva para Virgin Music Group",23,26,21,3106993,169771
24,spotify:track:3IAfUEeaXRX9s9UdKOJrFI,Anitta,Envolver,WEA Latina,24,57,18,3106640,193805
25,spotify:track:3YvE7uo4ffseBoJPh8IhHp,"Marília Mendonça, Maiara & Maraisa",Presepada,Som Livre,3,28,19,2986372,196209
